ANID,Ware,Country,Province,Site_Name,Ceramic Type,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V,,,
 PCD1502,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,5.4491,16.9342,0.251,17.2048,3.5163,2.0131,1.7163,34.6458,4.996,26.7445,0.2818,0.7006,18242.8,3.3663,0,6.29,0.5833,7.3392,639.75,0.5073,0.459,6.5408,50.22,84.99,51887,352,257588.3,2.5401,4453.1,445.15,485.2,3627.3,53.76,,,
 PCD1503,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,5.6804,16.9293,0.2465,17.0024,3.571,2.0014,1.8311,34.5723,4.2582,27.5089,0.2058,0.7144,18358.1,3.352,0,7,0.5986,7.3663,641.67,0.4938,0.4236,6.5809,48.49,94.2,55010,412.2,256571.6,2.7354,2655.4,259.62,491.7,2904.6,51.49,,,
 PCD1505,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,8.0452,21.2068,0.3462,20.8942,4.5721,2.5413,2.4396,42.2115,5.8894,34.7659,0.3847,0.9172,25725.7,4.1862,0,5.53,0.8358,9.7744,597.15,0.6466,0.6875,8.3642,54.19,106.16,68819.2,487.6,226324.4,3.6408,4264.7,174.42,885.2,3838.2,65.37,,,
 *PCD1506,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,5.5766,16.3223,0.2689,14.3538,3.4597,2.0218,1.7515,33.6648,3.8315,27.0575,0.3373,0.6885,18079.6,3.2729,19.84,6.91,0.6052,7.1983,681.45,0.4941,0.5076,6.4168,46.8,84.78,51129.4,429.8,262722.3,2.5553,3193.3,164.81,421.6,2742.3,57.49,,,
 PCD1507,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,6.8597,15.2163,0.2398,14.6398,3.3021,1.9381,1.7945,30.4408,4.93,24.4925,0.2901,0.6609,19625.2,3.2128,25.44,8.72,0.6631,7.4576,547.78,0.4839,0.4198,6.1053,62.18,68.31,54271.3,409.7,250935.3,2.2309,3314.6,410.78,444.8,2939.8,50.42,,,
 PCD1509,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,7.7753,22.7125,0.3628,21.8472,4.8278,2.1736,2.5596,45.8333,5.9945,32.6771,0.3187,0.9902,24081.7,4.0728,0,4.96,0.7973,9.1827,612.85,0.6032,0.6008,8.23,55.49,118.54,67407.7,435.6,239004.1,3.5462,4385,227.97,585.7,3749.6,75.2,,,
 *PCD1511,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,6.0677,44.0261,0.483,40.5022,7.9692,2.2671,3.59,91.5533,7.0373,58.4844,3.1662,1.3534,24865.7,7.6017,39.2,53.35,0.8575,10.8005,103.85,1.4919,0.9283,11.9081,98.03,187.42,57763.3,330.6,126759.8,5.7051,7932.3,201.71,1205.2,5162.7,57.85,,,
 PCD1535,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,6.0359,15.4817,0.2575,14.6637,3.3955,2.3982,1.6722,31.9413,6.0122,24.961,0.3089,0.6679,18378.7,3.3606,0,7.5,0.8267,7.2737,600.2,0.5023,0.4205,6.4635,56.88,87.12,54062,484.4,251154.6,2.4866,2758.8,729.53,459.5,3180.5,53.86,,,
 PCD1545,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,5.4621,16.3054,0.2392,16.0866,3.3513,2.1594,1.7767,32.2944,5.1282,26.008,0.2853,0.684,20076.2,3.4305,0,7.35,0.6684,7.7183,604.74,0.5142,0.4743,6.5617,58.48,89,62908.5,421.3,244941.9,2.6057,4501.2,354.62,732.5,3607.6,65.08,,,
 PCD1553,Redwares,Belize,Cayo,Tipu,Ixpop Polychrome,6.418,20.555,0.3403,20.1204,4.1976,2.6703,2.1612,45.9097,6.1131,33.117,0.2692,0.8432,21451.6,4.0886,0,9.08,0.8033,8.6447,598.28,0.6288,0.5982,8.5361,59.02,118.01,64478.9,405.3,219009,3.1976,2204.2,491.01,586.2,3465.2,67.5,,,
